Title,Link
"‘오락가락 SK하닉 리포트’ 모건스탠리, 불공정거래 의혹 쟁점은",https://finance.naver.com/news/news_read.naver?article_id=0005258589&office_id=014&mode=mainnews&type=&date=2024-10-25&page=1
고려아연  “이번엔 장내매수 경쟁” 장중 29%대 폭등,https://finance.naver.com/news/news_read.naver?article_id=0004407258&office_id=011&mode=mainnews&type=&date=2024-10-25&page=1
"[단독]현대차, '獨 디젤차 벌금' 870억 물어",https://finance.naver.com/news/news_read.naver?article_id=0012865071&office_id=003&mode=mainnews&type=&date=2024-10-25&page=1
“찬바람 불길래 믿고 사놨는데”…오를 놈은 따로 있다는 보험주,https://finance.naver.com/news/news_read.naver?article_id=0005385669&office_id=009&mode=mainnews&type=&date=2024-10-25&page=1
"""왜 우리만 떨어지나""…네이버·카카오 개미들 '비명'",https://finance.naver.com/news/news_read.naver?article_id=0005049118&office_id=015&mode=mainnews&type=&date=2024-10-25&page=1
외환범죄 80%는 '코인 악용'…국경 넘는 코인 거래 보고 추진,https://finance.naver.com/news/news_read.naver?article_id=0001849533&office_id=057&mode=mainnews&type=&date=2024-10-25&page=1
30분 만에 동났다…연예인 앞세운 편의점 주류 마케팅,https://finance.naver.com/news/news_read.naver?article_id=0001849532&office_id=057&mode=mainnews&type=&date=2024-10-25&page=1
고 이건희 4주기 '삼성 위기론' 속 조용한 추모…이재용 쇄신 카드는?,https://finance.naver.com/news/news_read.naver?article_id=0001849531&office_id=057&mode=mainnews&type=&date=2024-10-25&page=1
'실손 서류' 안 떼고 앱으로 간편 청구…참여 병원 확대는 숙제,https://finance.naver.com/news/news_read.naver?article_id=0001849530&office_id=057&mode=mainnews&type=&date=2024-10-25&page=1
"밸류업 공시 'A+' 받은 KB금융, 10만원선 돌파 '역대 최고가'[핫종목]",https://finance.naver.com/news/news_read.naver?article_id=0007868514&office_id=421&mode=mainnews&type=&date=2024-10-25&page=1
사업비 2조 '잠실 스포츠·MICE 민자사업' 2026년 '첫 삽' 목표,https://finance.naver.com/news/news_read.naver?article_id=0005868613&office_id=018&mode=mainnews&type=&date=2024-10-25&page=1
흑백요리사로 대박 난 백종원…무려 4900억 ‘잭팟’ 터졌다는데,https://finance.naver.com/news/news_read.naver?article_id=0005385659&office_id=009&mode=mainnews&type=&date=2024-10-25&page=1
"‘마이크로바이옴’ HEM파마, 일반청약서 증거금 2.7조원",https://finance.naver.com/news/news_read.naver?article_id=0005385642&office_id=009&mode=mainnews&type=&date=2024-10-25&page=1
'20만닉스' 컴백한 날…청산가치 밑으로 추락한 삼전,https://finance.naver.com/news/news_read.naver?article_id=0005049033&office_id=015&mode=mainnews&type=&date=2024-10-25&page=1
고려아연 주가 125만원…장중 시총 10위 진입도,https://finance.naver.com/news/news_read.naver?article_id=0005049024&office_id=015&mode=mainnews&type=&date=2024-10-25&page=1
兆대어만 4~5개…1월 공모주 '황금어장',https://finance.naver.com/news/news_read.naver?article_id=0005049022&office_id=015&mode=mainnews&type=&date=2024-10-25&page=1
"SK하닉 목표가 반토막 내더니, 모건스탠리 ""틀렸네""…1만원 찔끔 상향",https://finance.naver.com/news/news_read.naver?article_id=0007868376&office_id=421&mode=mainnews&type=&date=2024-10-25&page=1
"이지스운용, 이규성·강영구 2인 대표체제로 조직 개편",https://finance.naver.com/news/news_read.naver?article_id=0002885646&office_id=119&mode=mainnews&type=&date=2024-10-25&page=1
"""밸류업 노하우 함께 나누자"" 신한금융, 고객사에 컨설팅",https://finance.naver.com/news/news_read.naver?article_id=0005385604&office_id=009&mode=mainnews&type=&date=2024-10-25&page=1
"""트럼프 당선땐 2억 간다""… 美대선앞 비트코인 출렁",https://finance.naver.com/news/news_read.naver?article_id=0005385599&office_id=009&mode=mainnews&type=&date=2024-10-25&page=1
